At time   0 ns, fw_rA_sel = x, fw_rB_sel = x, ALU_in_0 = xxxxxxxxxxxxxxxx, ALU_in_1 = xxxxxxxxxxxxxxxx, data_WB = xxxxxxxxxxxxxxxx, ID_EXM_reg[5:68] = xxxxxxxxxxxxxxxx, ID_EXM_reg[69:132] = xxxxxxxxxxxxxxxx
At time 298 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 5c28f5c1d70a3d71, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 5c28f5c1d70a3d71
At time 302 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 5353535353535353, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 5353535353535353
At time 306 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0808080808080808, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0808080808080808
At time 310 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000099999999, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000099999999
At time 314 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 9999999999999999, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 9999999999999999
At time 318 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 322 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 6b2ef2b5a3e01c59, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 6b2ef2b5a3e01c59
At time 326 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 330 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = ebeafb810ebf0be1, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = ebeafb810ebf0be1
At time 334 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0505050505050505, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0505050505050505
At time 338 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 342 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0f0f0f0f0f0f0f00, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0f0f0f0f0f0f0f00
At time 346 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = a5a5a5a5a5a5a5a5, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = a5a5a5a5a5a5a5a5
At time 350 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 8484848484848485, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 8484848484848485
